Freq,res11,ims11,res21,im21,res12,im12,res22,im22
5924640000,0.0332341279907171,0.0147744992355732,-0.0188023411144345,0.874197864193775,-0.0103956035951379,0.880329213282066,0.0424705953168719,-0.0522572602280293
6011620000,0.0280455140970211,-0.0908076154688991,0.847425643694343,0.2027822338494,0.855053746427491,0.195557793996526,0.0116051909299289,-0.10913630186033
6098600000,-0.0117417995228359,0.00172465667948807,0.375316502364781,-0.790362571249356,0.373096674100431,-0.798047559948858,0.00626885437859798,-0.0473149889825934
6185580000,0.0582690524516284,-0.0625811077058712,-0.695231636089714,-0.525904774521112,-0.700188421803195,-0.530169204601756,0.0312511730462519,-0.0969953554822984
6272560000,-0.0488557487862802,-0.0506482363070859,-0.664170419559125,0.56721650520625,-0.668325486118805,0.572184731394885,-0.0313996709412161,-0.0784097719165965
6359540000,0.0424849114145401,-0.0112495336073155,0.419838224267476,0.766051013760341,0.424339886599089,0.770530680652206,0.025999776697477,-0.0582723434620092
6446520000,-0.0343677694145039,-0.0924930633073138,0.833663483264254,-0.249235391506416,0.840657937004825,-0.246294814745009,-0.0220235299240897,-0.104780669842892
6533500000,-8.83178889330807E-4,0.0131007233957397,-0.0695806732229684,-0.870171132446991,-0.0684105352884754,-0.876209074699489,-0.00451789860246125,-0.0435017300405967
6620480000,0.00605923671291297,-0.09580423637676,-0.863208268582732,-0.112669288611752,-0.868067928749277,-0.113789567885325,-6.60499577418601E-4,-0.103329724693632
6707460000,-0.0454877431668045,0.00135109079727852,-0.290580208627509,0.823512735622802,-0.296680346574083,0.827804621289352,-0.0292412329383751,-0.0596136007353326
6794440000,0.0344634592097845,-0.0578332600290173,0.746148244455131,0.449927788029697,0.749734710596554,0.458737448023073,0.00614608487594345,-0.0861083630768314
6881420000,-0.0699529298531382,-0.0508445960490781,0.596990707209928,-0.632968363097979,0.607963655140665,-0.633339358114746,-0.0556342108110682,-0.0870371539842769
6968400000,0.0136715488279099,-0.0025915219332754,-0.49671442131669,-0.718360068826853,-0.498940355785707,-0.723483132776277,-0.0153109260756369,-0.0503970520310473
7055380000,-0.0491192763212297,-0.0913435800198472,-0.80154281103709,0.335863222312327,-0.808541024948138,0.332174232781781,-0.0481426349010222,-0.105539836209269
7142360000,-0.032361780882219,0.0183277263223926,0.16337034570718,0.856865803426587,0.154694963407731,0.864585991226752,-0.0469579258341398,-0.0373408486098584
7229340000,-0.0088494799191649,-0.0887774549643663,0.868665183235698,0.0159722985193028,0.875040539514111,0.0233525028054979,-0.0230714908406137,-0.0993800411809874
7316320000,-0.0892585940722315,-1.74135252319296E-4,0.200862517841243,-0.844855147409373,0.208016430519742,-0.849897271714501,-0.0885793359471584,-0.063654657826643
7403300000,0.0218972496425323,-0.0219742554900553,-0.787286889143307,-0.369348600446166,-0.790320482702701,-0.377444199721429,-0.0410427496616465,-0.0558804478856086
7490280000,-0.0774462952004631,-0.0560792099177227,-0.524071078296168,0.688677131771816,-0.531737161239703,0.690461667607203,-0.0914685781141877,-0.0689538847768897
7577260000,-0.0178736553116441,0.0174993907785203,0.565742078817887,0.658511010106031,0.564450616145804,0.666206558939282,-0.0547647501755127,-0.0176955168623195
7664240000,-0.0455108843862584,-0.0737442350178393,0.758128093851257,-0.41636438424943,0.764806985015816,-0.413467021130419,-0.0712676864549127,-0.0775130319260944
7751220000,-0.0704932508630393,0.0214230529379209,-0.246522666481167,-0.828841215056473,-0.242217558448472,-0.836049153694236,-0.0876878619922504,-0.00597140850104418
7838200000,-0.00517597150438204,-0.042473972003648,-0.861555081571115,0.0733325965220151,-0.868385640982917,0.0659384789898308,-0.0470616220765396,-0.0465739277468538
7925180000,-0.0930167561788209,-0.00706615639819094,-0.107865474975953,0.854195902578219,-0.118987201463606,0.859247336533341,-0.101472424094524,-0.0255036518699922
8012160000,0.0161141894733079,-0.00293316329056977,0.814830379398683,0.281854786896166,0.816325341011397,0.294102652048256,-0.0538145396027627,-0.0232829000484227
8099140000,-0.092445526225364,-0.0657957515056419,0.443929852916287,-0.732129365546419,0.452745493895205,-0.731744742477013,-0.114828873535134,-0.044493257778545
8186120000,-0.0477381267887282,0.0427962894168277,-0.623497337987828,-0.590108947543676,-0.618673589594942,-0.60135519179855,-0.0730164749030718,0.0316478990630846
8273100000,-0.0356442373556237,-0.0613344379297263,-0.700842866554984,0.491754540420143,-0.714553531531492,0.482509299783705,-0.0730023058856512,-0.0426098520197869
8360080000,-0.107721856324067,0.02701317190698,0.328180832461781,0.785922680031114,0.319130438138158,0.796666603137248,-0.10400096623629,0.0390197013312149
8447060000,-0.00415780001603643,-0.013669957348175,0.840217609268583,-0.157606203031925,0.846120785239374,-0.154488706919089,-0.0399367569806885,-0.00818457354764168
8534040000,-0.136471574024047,-0.0203379802275182,0.0185947945194876,-0.844840035830403,0.0254932027737401,-0.849367855071178,-0.12639152927309,0.0179172166486724
8621020000,-0.0288565092776314,0.0617334170062586,-0.824536366568289,-0.198286263967656,-0.826045261199746,-0.209093054080906,-0.03588178768936,0.0561078870594013
8708000000,-0.101282183737688,-0.0505701836147712,-0.357973255152906,0.761668407191099,-0.363528295263193,0.763721990212892,-0.0963408235093526,-0.0240111268095607
